0 0     91    66     25    72 
0 1     88    68     20    77 
0 2     88    66     22    75 
0 3     90    72     18    80 
0 4     87    67     20    77 
0 5     91    66     25    72 
0 6     93    73     20    78 
0 7     90    70     20    77 
0 8     93    66     27    70 
0 9     93    68     25    73 
0 10    89    67     22    75 
0 11    91    72     19    79 
0 12    87    72     15    82 
0 13    87    66     21    75 
0 14    86    71     15    82 
0 15    94    64     30    68 
0 16    85    71     14    83 
0 17    86    70     16    81 
0 18    90    67     23    74 
0 19    90    70     20    77 
0 20    85    66     19    77 
0 21    85    67     18    78 
0 22    93    69     24    74 
0 23    90    73     17    81 
0 24    85    69     16    81 
1 0     86    73     13    84 
1 1     88    64     24    72 
1 2     87    68     19    78 
1 3     85    67     18    78 
1 4     92    73     19    79 
1 5     91    67     24    73 
1 6     86    64     22    74 
1 7     90    67     23    74 
1 8     90    64     26    71 
1 9     93    65     28    69 
1 10    92    68     24    73 
1 11    92    70     22    76 
1 12    90    64     26    71 
1 13    90    73     17    81 
1 14    85    72     13    84 
1 15    94    71     23    75 
1 16    92    71     21    77 
1 17    93    66     27    70 
1 18    88    64     24    72 
1 19    93    67     26    72 
1 20    88    73     15    82 
1 21    91    67     24    73 
1 22    91    66     25    72 
1 23    90    70     20    77 
1 24    86    67     19    77 
2 0     93    65     28    69 
2 1     91    69     22    75 
2 2     88    67     21    76 
2 3     88    67     21    76 
2 4     87    69     18    79 
2 5     88    66     22    75 
2 6     86    66     20    76 
2 7     89    66     23    74 
2 8     86    72     14    83 
2 9     86    67     19    77 
2 10    94    67     27    71 
2 11    87    73     14    83 
2 12    90    65     25    72 
2 13    86    66     20    76 
2 14    91    71     20    78 
2 15    90    72     18    80 
2 16    90    69     21    76 
2 17    92    67     25    72 
2 18    89    73     16    82 
2 19    87    73     14    83 
2 20    90    72     18    80 
2 21    90    66     24    73 
2 22    88    72     16    81 
2 23    94    69     25    73 
2 24    90    73     17    81 
3 0     88    67     21    76 
3 1     93    72     21    77 
3 2     94    70     24    74 
3 3     90    71     19    78 
3 4     85    70     15    82 
3 5     86    71     15    82 
3 6     91    67     24    73 
3 7     94    68     26    72 
3 8     94    68     26    72 
3 9     90    66     24    73 
3 10    93    67     26    72 
3 11    88    71     17    80 
3 12    94    68     26    72 
3 13    91    67     24    73 
3 14    89    70     19    78 
3 15    91    64     27    70 
3 16    90    69     21    76 
3 17    89    71     18    79 
3 18    94    64     30    68 
3 19    85    70     15    82 
3 20    85    72     13    84 
3 21    85    69     16    81 
3 22    93    65     28    69 
3 23    92    64     28    69 
3 24    89    70     19    78 
4 0     94    65     29    69 
4 1     85    70     15    82 
4 2     90    69     21    76 
4 3     85    67     18    78 
4 4     94    67     27    71 
4 5     89    73     16    82 
4 6     85    67     18    78 
4 7     94    70     24    74 
4 8     85    73     12    85 
4 9     91    68     23    74 
4 10    86    70     16    81 
4 11    88    68     20    77 
4 12    87    68     19    78 
4 13    90    65     25    72 
4 14    86    67     19    77 
4 15    94    64     30    68 
4 16    94    72     22    76 
4 17    88    73     15    82 
4 18    85    68     17    80 
4 19    93    70     23    75 
4 20    93    68     25    73 
4 21    88    68     20    77 
4 22    92    64     28    69 
4 23    85    65     20    76 
4 24    85    73     12    85 
5 0     88    71     17    80 
5 1     89    66     23    74 
5 2     87    73     14    83 
5 3     85    72     13    84 
5 4     92    67     25    72 
5 5     90    70     20    77 
5 6     93    73     20    78 
5 7     90    68     22    75 
5 8     93    68     25    73 
5 9     89    73     16    82 
5 10    87    65     22    74 
5 11    88    72     16    81 
5 12    94    73     21    77 
5 13    88    67     21    76 
5 14    87    73     14    83 
5 15    92    70     22    76 
5 16    92    71     21    77 
5 17    89    71     18    79 
5 18    92    72     20    78 
5 19    86    73     13    84 
5 20    90    65     25    72 
5 21    86    67     19    77 
5 22    92    66     26    71 
5 23    88    70     18    79 
5 24    90    73     17    81 
6 0     91    72     19    79 
6 1     91    65     26    71 
6 2     89    67     22    75 
6 3     89    66     23    74 
6 4     90    70     20    77 
6 5     94    65     29    69 
6 6     89    68     21    76 
6 7     88    73     15    82 
6 8     92    64     28    69 
6 9     94    68     26    72 
6 10    86    69     17    80 
6 11    88    68     20    77 
6 12    88    73     15    82 
6 13    93    64     29    68 
6 14    88    67     21    76 
6 15    89    70     19    78 
6 16    94    66     28    70 
6 17    86    69     17    80 
6 18    88    66     22    75 
6 19    87    70     17    80 
6 20    86    66     20    76 
6 21    93    72     21    77 
6 22    86    64     22    74 
6 23    86    66     20    76 
6 24    93    67     26    72 
7 0     87    71     16    81 
7 1     92    71     21    77 
7 2     89    66     23    74 
7 3     89    66     23    74 
7 4     89    64     25    71 
7 5     85    69     16    81 
7 6     86    73     13    84 
7 7     89    64     25    71 
7 8     91    68     23    74 
7 9     92    66     26    71 
7 10    91    64     27    70 
7 11    88    68     20    77 
7 12    87    65     22    74 
7 13    85    65     20    76 
7 14    89    66     23    74 
7 15    86    73     13    84 
7 16    90    70     20    77 
7 17    87    68     19    78 
7 18    91    73     18    80 
7 19    86    69     17    80 
7 20    86    72     14    83 
7 21    93    70     23    75 
7 22    88    70     18    79 
7 23    88    72     16    81 
7 24    86    71     15    82 
8 0     89    67     22    75 
8 1     86    67     19    77 
8 2     90    67     23    74 
8 3     91    72     19    79 
8 4     87    69     18    79 
8 5     86    70     16    81 
8 6     94    70     24    74 
8 7     93    71     22    76 
8 8     86    64     22    74 
8 9     85    71     14    83 
8 10    87    64     23    73 
8 11    89    73     16    82 
8 12    87    65     22    74 
8 13    88    66     22    75 
8 14    88    68     20    77 
8 15    88    67     21    76 
8 16    88    66     22    75 
8 17    86    71     15    82 
8 18    92    73     19    79 
8 19    93    71     22    76 
8 20    86    67     19    77 
8 21    87    73     14    83 
8 22    91    64     27    70 
8 23    85    66     19    77 
8 24    93    66     27    70 
9 0     86    69     17    80 
9 1     85    69     16    81 
9 2     89    70     19    78 
9 3     93    70     23    75 
9 4     92    71     21    77 
9 5     91    71     20    78 
9 6     90    67     23    74 
9 7     88    68     20    77 
9 8     93    72     21    77 
9 9     94    69     25    73 
9 10    92    68     24    73 
9 11    94    68     26    72 
9 12    88    72     16    81 
9 13    92    66     26    71 
9 14    94    73     21    77 
9 15    86    70     16    81 
9 16    90    67     23    74 
9 17    94    66     28    70 
9 18    92    70     22    76 
9 19    86    68     18    79 
9 20    91    73     18    80 
9 21    92    73     19    79 
