rect 1 1
rotate row 0 5
rect 1 1
rotate row 0 5
rect 1 1
rotate row 0 5
rect 1 1
rotate row 0 5
rect 1 1
rotate row 0 2
rect 1 1
rotate row 0 2
rect 1 1
rotate row 0 3
rect 1 1
rotate row 0 3
rect 2 1
rotate row 0 2
rect 1 1
rotate row 0 3
rect 2 1
rotate row 0 2
rect 1 1
rotate row 0 3
rect 2 1
rotate row 0 5
rect 4 1
rotate row 0 5
rotate column 0 1
rect 4 1
rotate row 0 10
rotate column 5 2
rotate column 0 1
rect 9 1
rotate row 2 5
rotate row 0 5
rotate column 0 1
rect 4 1
rotate row 2 5
rotate row 0 5
rotate column 0 1
rect 4 1
rotate column 40 1
rotate column 27 1
rotate column 22 1
rotate column 17 1
rotate column 12 1
rotate column 7 1
rotate column 2 1
rotate row 2 5
rotate row 1 3
rotate row 0 5
rect 1 3
rotate row 2 10
rotate row 1 7
rotate row 0 2
rotate column 3 2
rotate column 2 1
rotate column 0 1
rect 4 1
rotate row 2 5
rotate row 1 3
rotate row 0 3
rect 1 3
rotate column 45 1
rotate row 2 7
rotate row 1 10
rotate row 0 2
rotate column 3 1
rotate column 2 2
rotate column 0 1
rect 4 1
rotate row 2 13
rotate row 0 5
rotate column 3 1
rotate column 0 1
rect 4 1
rotate row 3 10
rotate row 2 10
rotate row 0 5
rotate column 3 1
rotate column 2 1
rotate column 0 1
rect 4 1
rotate row 3 8
rotate row 0 5
rotate column 3 1
rotate column 2 1
rotate column 0 1
rect 4 1
rotate row 3 17
rotate row 2 20
rotate row 0 15
rotate column 13 1
rotate column 12 3
rotate column 10 1
rotate column 8 1
rotate column 7 2
rotate column 6 1
rotate column 5 1
rotate column 3 1
rotate column 2 2
rotate column 0 1
rect 14 1
rotate row 1 47
rotate column 9 1
rotate column 4 1
rotate row 3 3
rotate row 2 10
rotate row 1 8
rotate row 0 5
rotate column 2 2
rotate column 0 2
rect 3 2
rotate row 3 12
rotate row 2 10
rotate row 0 10
rotate column 8 1
rotate column 7 3
rotate column 5 1
rotate column 3 1
rotate column 2 1
rotate column 1 1
rotate column 0 1
rect 9 1
rotate row 0 20
rotate column 46 1
rotate row 4 17
rotate row 3 10
rotate row 2 10
rotate row 1 5
rotate column 8 1
rotate column 7 1
rotate column 6 1
rotate column 5 1
rotate column 3 1
rotate column 2 2
rotate column 1 1
rotate column 0 1
rect 9 1
rotate column 32 4
rotate row 4 33
rotate row 3 5
rotate row 2 15
rotate row 0 15
rotate column 13 1
rotate column 12 3
rotate column 10 1
rotate column 8 1
rotate column 7 2
rotate column 6 1
rotate column 5 1
rotate column 3 1
rotate column 2 1
rotate column 1 1
rotate column 0 1
rect 14 1
rotate column 39 3
rotate column 35 4
rotate column 20 4
rotate column 19 3
rotate column 10 4
rotate column 9 3
rotate column 8 3
rotate column 5 4
rotate column 4 3
rotate row 5 5
rotate row 4 5
rotate row 3 33
rotate row 1 30
rotate column 48 1
rotate column 47 5
rotate column 46 5
rotate column 45 1
rotate column 43 1
rotate column 38 3
rotate column 37 3
rotate column 36 5
rotate column 35 1
rotate column 33 1
rotate column 32 5
rotate column 31 5
rotate column 30 1
rotate column 23 4
rotate column 22 3
rotate column 21 3
rotate column 20 1
rotate column 12 2
rotate column 11 2
rotate column 3 5
rotate column 2 5
rotate column 1 3
rotate column 0 4
